objectid,parentid,format,display_template,object_location,title,date,date_created,description,category,image_small,image_thumb
01land,,,compound_object,,"Deeds to Tempe School Land, 1885-1936",1885,1885-1936,"Deeds to Tempe School Land Land Acquisitions 1885-1936 MSS-98 Box 67 Folder 2/OV1 George W. Wilson and Martha V. Wilson originally agreed to exchange five acres of their property for $500 raised by the citizens of Tempe. The Wilsons then generously donated 15 additional acres of land, creating the core of the original 20 acre campus. They continued to use the land to graze cattle for their business, the Pioneer Meat Market. In 1906 George Wilson became grounds keeper - a position he held for the next 25 years. Wilson Hall is named for him.",Landmarks,/objects/small/01aland_sm.jpg,/objects/thumbs/01aland_th.jpg
01Aland,01land,image/jpeg,image,objects/01Aland.jpg,"Land Acquisitions, page 1, Deeds to Tempe School Land Land Acquisitions 1885-1936",1885,1885-1936,,Landmarks,/objects/small/01aland_sm.jpg,/objects/thumbs/01aland_th.jpg
01Bathlet,,image/jpeg,image,objects/01Bathlet.jpg,"Tempe Normal School Baseball Team members, 1899",1899,1899,"Front of photo Tempe Normal School Baseball Team members , Fred C. Ayer, Coach; Halbert Miller, Business Manager; Leroy Stewart, Frank Parry, Jess Clifford, Sam Shrigley, Bill Fellows, Maurice Blome, Ashcroft, John Dykes, Arch Millett 1907",Campus Lives - Athletes,/objects/small/01bathlet_sm.jpg,/objects/thumbs/01bathlet_th.jpg
01Bland,01land,image/jpeg,image,objects/01Bland.jpg,"Land Acquisitions, page 2, Deeds to Tempe School Land Land Acquisitions 1885-1936",1885,1885-1936,,Landmarks,/objects/small/01bland_sm.jpg,/objects/thumbs/01bland_th.jpg
01Cland,01land,image/jpeg,image,objects/01Cland.jpg,"Land Acquisitions, page 3, Deeds to Tempe School Land Land Acquisitions 1885-1936",1885,1885-1936,,Landmarks,/objects/small/01cland_sm.jpg,/objects/thumbs/01cland_th.jpg
01Dland,01land,image/jpeg,image,objects/01Dland.jpg,"Land Acquisitions, page 4, Deeds to Tempe School Land Land Acquisitions 1885-1936",1885,1885-1936,,Landmarks,/objects/small/01dland_sm.jpg,/objects/thumbs/01dland_th.jpg
01Eland,01land,image/jpeg,image,objects/01Eland.jpg,"Land Acquisitions, page 5, Deeds to Tempe School Land Land Acquisitions 1885-1936",1885,1885-1936,,Landmarks,/objects/small/01eland_sm.jpg,/objects/thumbs/01eland_th.jpg
01Fland,01land,image/jpeg,image,objects/01Fland.jpg,"Land Acquisitions, page 6, Deeds to Tempe School Land Land Acquisitions 1885-1936",1885,1885-1936,,Landmarks,/objects/small/01fland_sm.jpg,/objects/thumbs/01fland_th.jpg
01athlet,,image/jpeg,image,objects/01athlet.jpg,"Tempe Normal School Baseball Team, 1899",1899,1899,"Tempe Normal School Baseball Team 1907 Photographer: Hartwell UP UPC ASUA B37 1900s #1 The first baseball game was played in 1891, Tempe Normal vs. Stringtown (an area in Mesa), on record as the first organized sport. Most of the competitions were with local high schools and by 1913 it was the major sport at the Tempe Normal. During World War II the program was interrupted, but began to reorganize in the late 1940s. For more information about ASU Baseball, please visit: http://thesundevils.fansonly.com/sports/m-basebl/asu-m-basebl-body.html",Campus Lives - Athletes,/objects/small/01athlet_sm.jpg,/objects/thumbs/01athlet_th.jpg
01casc,,image/jpeg,image,objects/01casc.jpg,"Class portrait on the porch of the Normal School Building, 1890s",1890,1890s,Students and staff gather for a class portrait on the porch of the Normal School Building. 1890s UP UPC ASUB N623 #36 1890s,Campus Lives - Campus Scenes,/objects/small/01casc_sm.jpg,/objects/thumbs/01casc_th.jpg
