objectid	image_url	title	description	category
01Aland	../images/01Aland.jpg	Deeds to Tempe School Land, 1885-1936, Deeds to Tempe School Land Land Acquisitions 1885-1936 MSS-98 Box 67 Folder 2/OV1 George W. Wilson and Martha V. Wilson originally agreed to exchange five acres of their property for $500 raised by the citizens of Tempe. The Wilsons then generously donated 15 additional acres of land, creating the core of the original 20 acre campus. They continued to use the land to graze cattle for their business, the Pioneer Meat Market. In 1906 George Wilson became grounds keeper - a position he held for the next 25 years. Wilson Hall is named for him.	Landmarks
01Bathlet	../images/01Bathlet.jpg	Tempe Normal School Baseball Team members, 1899	Front of photo Tempe Normal School Baseball Team members , Fred C. Ayer, Coach; Halbert Miller, Business Manager; Leroy Stewart, Frank Parry, Jess Clifford, Sam Shrigley, Bill Fellows, Maurice Blome, Ashcroft, John Dykes, Arch Millett 1907	Campus Lives - Athletes
01Bland	../images/01Bland.jpg	Land Acquisitions, page 2, Deeds to Tempe School Land Land Acquisitions 1885-1936	Landmarks
01Cland	../images/01Cland.jpg	Land Acquisitions, page 3, Deeds to Tempe School Land Land Acquisitions 1885-1936	Landmarks
01Dland	../images/01Dland.jpg	Land Acquisitions, page 4, Deeds to Tempe School Land Land Acquisitions 1885-1936	Landmarks
01Eland	../images/01Eland.jpg	Land Acquisitions, page 5, Deeds to Tempe School Land Land Acquisitions 1885-1936	Landmarks
01Fland	../images/01Fland.jpg	Land Acquisitions, page 6, Deeds to Tempe School Land Land Acquisitions 1885-1936	Landmarks
01athlet	../images/01athlet.jpg	Tempe Normal School Baseball Team, 1899	Tempe Normal School Baseball Team 1907 Photographer: Hartwell UP UPC ASUA B37 1900s #1 The first baseball game was played in 1891, Tempe Normal vs. Stringtown (an area in Mesa), on record as the first organized sport. Most of the competitions were with local high schools and by 1913 it was the major sport at the Tempe Normal. During World War II the program was interrupted, but began to reorganize in the late 1940s. For more information about ASU Baseball, please visit: http://thesundevils.fansonly.com/sports/m-basebl/asu-m-basebl-body.html	Campus Lives - Athletes
01casc	../images/01casc.jpg	Class portrait on the porch of the Normal School Building, 1890s	Students and staff gather for a class portrait on the porch of the Normal School Building. 1890s UP UPC ASUB N623 #36 1890s	Campus Lives - Campus Scenes
01ccp	../images/01ccp.jpg	Stock judging at State Fair, 1912	Stock judging at State Fair by Tempe Normal School agriculture students. 1912 Photographer: Heath UP UPC ASUG S882 1910s #2	Community, Collaboration and Partnership
01lead	../images/01lead.jpg	First Principal Hiram Bradford Farmer 1886-1888	First Principal Hiram Bradford Farmer 1886-1888 UP UPC ASUP Farmer, Hiram Bradford The first class of 33 students at the Territorial Normal School in 1886 was greeted by its first teacher and principal, Hiram Bradford Farmer. This initial student body included 16-year-old students with no high school education, since there were no high schools in the Arizona Territory. Farmer's early efforts were spent establishing the school's core curriculum. He wanted students to be well grounded in the basics of reading, writing, spelling, grammar, arithmetic, geography, and United States history. Students also took classes in philosophy, Latin, rhetoric, English literature, and the philosophy of education. Farmer gave out diplomas to only 5 students in his three semesters as teacher-principal to students of varying ages and experiences - not because of a lack of students, but because he would reward no student who failed to satisfy his academic standards. In his view, unprepared teachers would be of no value to the communities nor to the students they served. Principal Farmer is credited with establishing the Territorial Normal School's first practice teaching program, and he put his advanced students to work teaching the lower classes. It is Farmer who is credited for establishing the Territorial Normal School's reputation as a viable institution of higher learning.	Leadership
01research	../images/01research.jpg	Normal School Library 2nd floor Old Main, 1907	Normal School Library 2nd floor Old Main 1907 ASUB O42 #105 Academic Freedom - Research Category Index Next Image On opening day the Territorial School at Tempe library consisted of a dictionary and a terrestrial globe on a shelf in the original building. Today the ASU Library nine branches have a collection of 3.1 million volumes, ranked 37th largest research library in the US and Canada. The first mention of a library in the 1889 catalog listed the holdings as Normal School Library 2nd floor Old Main 1907 ASUB O42 #105 a newly acquired Encyclopedia Britannica. Old Main opened in 1898, and the new library housed 700 volumes on history, science, education and general literature, and other periodicals including publications from the Smithsonian Institution. As attendance increased and new degrees were added, the library collection expanded to support the new curriculum. Matthews Library opened in 1930 with 14,000 volumes.	Academic Freedom - Research
